,INVYR,AVGHT,AVGDIA
0,1998,48.480264456285774,7.3018821130188964
1,1999,49.71835484291488,7.524552535523414
2,2000,52.92873595804245,7.880288458131113
3,2001,53.00456409577986,7.990413193985099
4,2002,52.75783618330047,8.071306766341884
5,2003,53.49887875442979,8.205818509266175
6,2004,52.23121458894266,8.413675399329247
7,2005,53.60614145482003,8.638576351913875
8,2006,53.29711626209162,8.625783975177912
9,2007,53.24983845113013,8.637614110624432
10,2008,52.9286445623138,8.712781276222037
11,2009,53.560600195553874,8.733059729952343
12,2010,52.841723042464686,8.726235287059412
13,2011,54.18861218409292,9.392941136144888
14,2012,55.009515402457005,9.73070755945864
15,2013,54.94580581809255,9.691981146434287
16,2014,54.10627972828537,9.737847000957201
17,2015,54.13039857532702,9.899857148347756
18,2016,52.09754668229402,9.287204634044231
19,2017,52.40759548466585,9.345916315046173
20,2018,52.2373154868199,9.372069141586932
21,2019,57.93516111242417,8.385401402347703
