,SPECIES,AVGHT,MAXHT
380,fourleaf buchenavia,50.2,70
681,sugarberry,50.09229719355114,134
255,black ash,50.064710459041905,111
348,cucubano de monte,50.0,50
218,anacardium,50.0,50
307,camphortree,50.0,76
466,laurel oak,49.97637271214642,134
533,nutmeg hickory,49.970588235294116,84
651,slippery elm,49.86517533252721,138
428,honeylocust,49.70323342684187,125
522,nemoca,49.5,66
95,Honduras mahogany,49.26315789473684,95
252,bitter cherry,49.014388489208635,94
17,Anadenanthera peregrina,49.0,55
646,silver poplar,49.0,65
470,leva,49.0,49
417,hackberry,48.95799607554574,129
700,tamarack (native),48.91798225128445,114
551,palo de hierro,48.833333333333336,75
702,tanoak,48.797549171043144,145
56,Carolina silverbell,48.721804511278194,108
595,red beadtree,48.70454545454545,101
691,"sweet cherry, domesticated",48.61327231121282,91
463,laurel avispillo,48.56923076923077,90
423,hickory spp.,48.50212765957447,98
291,bur oak,48.158840579710144,120
573,popona,48.15384615384615,75
764,willow spp.,48.12075983717775,133
183,Table Mountain pine,47.9120559114735,96
694,sweetbay,47.767933138491514,125
575,post oak,47.66387233458824,130
363,eastern hemlock,47.65936900104043,149
225,ash spp.,47.634408602150536,112
564,pitch pine,47.62938784246575,114
593,rauel,47.5,71
137,Pacific madrone,47.42163212435233,135
582,pumpwood,47.411378555798684,97
534,oak spp.,47.38157894736842,82
74,Durand oak,47.31884057971015,106
437,jack pine,47.316203276672375,100
8,American elm,47.2726052417314,138
334,coconut palm,47.26984126984127,93
438,jaguey blanco,47.25,56
57,Celtis paniculata,47.0,75
195,Trichospermum ikutai,47.0,51
113,Mao,46.875,68
748,white pricklyash,46.81203007518797,80
290,bullytree,46.6,65
281,breadfruit,46.474747474747474,90
750,white spruce,46.44426778242678,107
166,Scotch pine,46.42903840915282,116
418,hackberry spp.,46.333333333333336,91
676,subalpine fir,46.18054885565739,146
156,Puerto Rico magnolia,46.142857142857146,66
320,cheesewood,46.0,46
661,southern magnolia,45.82633279483037,125
79,European alder,45.775,68
168,September elm,45.67741935483871,78
498,"maratte, opop",45.666666666666664,53
285,broadleaf lancepod,45.5,56
635,sea hibiscus,45.4625,85
275,blue spruce,45.33646322378717,122
505,milktree,45.285714285714285,55
512,mountain immortelle,45.22,98
535,ochod,45.0,61
125,Ogeechee tupelo,44.865528281750265,100
245,bigleaf magnolia,44.752347417840376,94
343,corkbark fir,44.671507902605725,114
314,catalpa spp.,44.541666666666664,74
128,Olomea,44.5,59
659,southern catalpa,44.5,81
665,southwestern white pine ,44.49484536082474,115
432,ilang-ilang,44.42307692307692,87
521,negra lora,44.416666666666664,62
629,sassafras,44.41291637136782,136
478,loblolly-bay,44.35612424301621,106
527,northern catalpa,44.343859649122805,88
148,Ponapea ledermanniana,44.333333333333336,48
368,elm spp.,44.30201342281879,101
172,Siberian elm,44.28404255319149,96
258,black hickory,44.24513179767276,110
770,yellow mombin,44.21621621621622,69
40,California black oak,44.111661057216395,138
279,boxelder,44.099953461916336,110
209,aguacatillo,44.07142857142857,66
287,"buckeye, horsechestnut spp.",44.0,45
510,motillo,44.0,44
603,red spruce,43.872687052100375,122
1,Alaska yellow-cedar,43.6987784564131,152
263,black spruce,43.69236798973847,96
84,Florida maple,43.662696629213485,131
381,foxtail pine,43.63709677419355,102
48,California-laurel,43.62008469449486,127
312,casia amarilla,43.4,50
377,fir spp.,43.0,52
55,Carolina hemlock,42.98765432098765,86
268,blackgum,42.953451494078195,128
658,sourwood,42.797537549810976,112
421,hemlock spp.,42.666666666666664,56
324,chinaberry,42.47709090909091,94
502,matchwood,42.475903614457835,69
519,muttonwood,42.42857142857143,73
27,Arizona sycamore,42.30769230769231,58
77,Engelmann oak,42.22222222222222,58
727,weeping willow,42.11764705882353,64
495,mango,42.08982035928144,80
19,Antilles calophyllum,42.05128205128205,79
0,African tuliptree,42.04632489190858,93
703,tavai,42.0,52
674,stopper,42.0,42
739,"white bully, willow bustic",41.916666666666664,69
677,subalpine larch,41.87412587412587,125
197,Unknown dead hardwood,41.85230769230769,85
144,Peltophorum pterocarpum,41.81818181818182,48
561,pin cherry,41.59344978165939,98
73,Drypetes yapensis,41.5,58
389,"giant chinkapin, golden chinkapin",41.275151515151514,124
357,doncella,41.05555555555556,65
558,peronia,41.05128205128205,62
110,Maclura tinctoria,41.0,44
371,false breadnut,40.88235294117647,66
709,tropical almond,40.794117647058826,80
233,basswood spp.,40.785714285714285,82
517,mulberry spp.,40.630434782608695,70
20,Apache pine,40.5,66
568,ponce mayten,40.5,41
337,common persimmon,40.44473963868225,117
491,mammee sapote,40.333333333333336,55
317,cedar elm,40.22131979695431,103
672,stinkingtoe,40.0377358490566,84
407,guanabanilla,40.0,40
475,live oak,39.97568881685575,135
623,sacky sac bean,39.85795454545455,79
249,birch spp.,39.857142857142854,98
126,Oglethorpe oak,39.666666666666664,40
53,Carolina ash,39.66025641025641,112
590,rajador,39.588235294117645,70
134,Other or unknown live tree,39.51526717557252,85
399,gray birch,39.41684210526316,80
157,Puerto Rico royal palm,39.30508474576271,80
60,Chinese tallowtree,39.14650234334317,95
230,balsam fir,39.131198410675196,100
59,Chinese chestnut,39.125,64
720,water birch,39.095238095238095,65
91,Glochidion,39.0,56
453,konpuil,39.0,39
507,"mimosa, silktree",38.93316831683168,86
612,river koko,38.86086956521739,81
600,red mulberry,38.67815365159659,102
500,masa,38.672413793103445,62
516,mucilage manjack,38.62105263157895,60
548,palma brava,38.6,48
503,mati,38.5,47
620,royal poinciana,38.5,51
765,winged elm,38.43000455996352,132
443,"kalm, aralm",38.4,50
142,Panama rubbertree,38.333333333333336,42
240,bedel,38.3,57
746,white mulberry,38.256,90
133,Osage-orange,38.25055624227441,83
465,laurel magnolia,38.0,38
391,"ginkgo, maidenhair tree",37.833333333333336,57
531,northern white-cedar,37.804403121771664,88
127,Ohio buckeye,37.754523996852875,100
207,achiotillo,37.69662921348315,66
227,avocado,37.675,62
424,higuerillo,37.625,52
663,southern redcedar,37.50857142857143,68
243,betelnut,37.5,54
239,beach sheoak,37.27777777777778,62
374,false mastic,37.2,59
226,avispillo,37.125,57
234,bastard hogberry,37.07142857142857,50
43,California live oak,37.025841816758025,95
444,kapoktree,37.0,43
749,white rosewood,36.75,54
112,Malaysian apple,36.666666666666664,49
563,pine spp.,36.55555555555556,47
143,Panama tree,36.5,63
297,cabbagebark tree,36.40816326530612,87
490,mammee apple,36.375,67
200,Washoe pine,36.32142857142857,96
178,Spanish elm,36.18811881188119,77
236,bastard stopper,36.0,67
364,eastern hophornbeam,35.97026604068858,86
714,umbrella magnolia,35.87341772151899,99
515,mountain-ash spp.,35.77777777777778,52
289,bullwood,35.73076923076923,76
459,langaasag,35.714285714285715,50
117,Micropholis guyanensis,35.689655172413794,59
483,maga,35.666666666666664,50
269,blackjack oak,35.641294932871375,120
556,peachleaf willow,35.59239130434783,76
638,serviceberry spp.,35.43997071742314,103
742,white cogwood,35.41463414634146,69
28,Arizona walnut,35.4054054054054,59
733,western soapberry,35.40217391304348,59
754,whitebark pine,35.360139408803406,97
699,tall albizia,35.23312883435583,72
537,ola,35.0,35
504,melaleuca,34.9247572815534,68
366,eastern redcedar,34.85217123046186,101
408,guara blanca,34.8,40
487,mahogany,34.5,49
319,chalk maple,34.432432432432435,97
378,fishpoison tree,34.4,40
671,star apple,34.375,61
405,gregorywood,34.25675675675676,69
237,bastardcedar,34.19047619047619,53
370,espejuelo,34.125,54
13,American muskwood,33.5661938534279,82
616,roble de sierra,33.5,34
345,crabwood,33.5,34
445,"karasyu, marasau",33.26315789473684,65
63,Citrus reticulata,33.25,37
158,Rhizophora stylosa,33.214285714285715,48
92,Great Basin bristlecone pine,33.18181818181818,70
39,Burma padauk,33.0,33
46,California torreya (nutmeg),32.96491228070175,88
725,"water-elm, planertree",32.961269248716754,80
147,Poitea florida,32.559322033898304,50
179,Spanish lime,32.544117647058826,60
131,Oregon white oak,32.367737525632265,123
114,Martinique sweetleaf,32.285714285714285,36
12,American mountain-ash,32.162921348314605,65
88,Fraser fir,32.154981549815496,102
210,ahgao,32.1,54
605,redbay,32.07837087318729,136
165,Scotch attorney,32.0,66
538,omail,32.0,36
382,fragrant dracaena,32.0,33
223,aquilon,31.97530864197531,72
589,raintree,31.884615384615383,40
316,ceboruquillo,31.68421052631579,59
756,wild ackee,31.68,66
706,tilol,31.666666666666668,49
87,Florida strangler fig,31.625,53
282,breakbill,31.5,37
331,clammy cherry,31.5,33
347,cucubano,31.5,34
309,canyon live oak,31.48282805682962,115
710,tungoil tree,31.29032258064516,62
186,Texas ash,31.15625,50
10,"American hornbeam, musclewood",31.035757802980598,115
351,cupeillo,31.0,48
325,chinalaurel,31.0,31
159,Rocky Mountain bristlecone pine,30.80687397708674,69
163,San Bartolome,30.764705882352942,36
219,angelica tree,30.68548387096774,66
361,dwarf post oak,30.592658377738307,70
775,yucca plum pine,30.5,40
321,cherry and plum spp.,30.467105263157894,71
472,limber pine,30.441305079044735,90
713,two-wing silverbell,30.25925925925926,47
730,western juniper,30.150990511070418,96
388,gia verde,30.15,60
360,dwarf live oak,30.09032258064516,79
435,interior live oak,30.070438158624516,74
666,spineless wattle,30.034825870646767,60
193,Timonius,30.0,40
387,geno geno,30.0,46
121,Nectandra turbacensis,30.0,58
632,scratchthroat,30.0,32
528,northern mountain-ash,30.0,42
238,bayrumtree,29.90909090909091,45
222,apple spp.,29.8534098151689,62
274,blue oak,29.818292682926828,76
135,Ozark chinkapin,29.782608695652176,58
477,loblolly sweetwood,29.71212121212121,68
675,striped maple,29.638042269187988,105
587,quina roja,29.333333333333332,46
146,Plumeria obtusa,29.333333333333332,32
447,kattar,29.304347826086957,42
718,velvet ash,29.23076923076923,46
288,bulletwood,29.2,34
464,laurel espada,29.083333333333332,52
757,"wild banyantree, shortleaf fig",29.055555555555557,65
301,caimitillo verde,29.04,46
